행정구역,2020년_남_총인구수,2020년_남_연령구간인구수,2020년_남_0~9세,2020년_남_10~19세,2020년_남_20~29세,2020년_남_30~39세,2020년_남_40~49세,2020년_남_50~59세,2020년_남_60~69세,2020년_남_70~79세,2020년_남_80~89세,2020년_남_90~99세,2020년_남_100세 이상,2020년_여_총인구수,2020년_여_연령구간인구수,2020년_여_0~9세,2020년_여_10~19세,2020년_여_20~29세,2020년_여_30~39세,2020년_여_40~49세,2020년_여_50~59세,2020년_여_60~69세,2020년_여_70~79세,2020년_여_80~89세,2020년_여_90~99세,2020년_여_100세 이상
서울특별시  (1100000000),"4,701,723","4,701,723","320,275","401,285","707,669","737,901","756,950","748,582","587,294","320,416","108,339","11,221","1,791","4,966,742","4,966,742","303,470","380,581","752,742","737,205","771,232","774,974","656,660","383,660","169,755","31,462","5,001"
서울특별시 종로구 (1111000000),"72,635","72,635","3,803","5,495","11,505","9,910","10,834","12,784","9,903","5,518","2,415",371,97,"76,749","76,749","3,724","5,518","11,911","10,033","11,397","12,675","10,045","6,982","3,563",722,179
서울특별시 중구 (1114000000),"61,222","61,222","3,505","3,408","8,851","10,027","9,222","10,508","8,714","4,839","1,800",283,65,"64,018","64,018","3,331","3,365","9,735","10,080","8,789","10,194","8,837","5,894","3,036",617,140
서울특별시 용산구 (1117000000),"110,722","110,722","6,970","7,932","15,925","19,032","17,529","18,344","13,760","7,401","3,219",503,107,"119,318","119,318","6,526","7,677","17,560","19,037","18,169","18,726","15,080","9,802","5,353","1,124",264
서울특별시 성동구 (1120000000),"143,387","143,387","10,469","9,891","22,271","24,032","22,575","23,582","17,809","9,170","3,185",331,72,"150,169","150,169","9,980","9,924","22,772","24,873","22,445","23,666","18,725","11,416","5,335",854,179
서울특별시 광진구 (1121500000),"167,310","167,310","9,977","13,219","29,521","27,696","25,883","26,600","20,219","10,314","3,466",361,54,"179,372","179,372","9,595","12,712","33,419","28,287","26,599","27,941","22,241","12,114","5,384",916,164
서울특별시 동대문구 (1123000000),"169,769","169,769","10,662","11,966","27,978","25,917","26,124","26,854","22,400","12,737","4,574",463,94,"173,068","173,068","10,126","11,681","28,353","24,258","24,506","26,408","23,993","15,458","6,947","1,119",219
서울특별시 중랑구 (1126000000),"195,165","195,165","11,921","13,643","27,793","29,956","29,951","34,267","28,254","14,384","4,582",365,49,"199,537","199,537","11,143","13,116","28,319","28,168","27,932","35,261","29,968","17,061","7,176","1,236",157
서울특별시 성북구 (1129000000),"210,810","210,810","14,723","18,918","32,219","29,773","34,424","34,207","25,747","14,662","5,510",531,96,"226,343","226,343","14,099","18,227","34,753","30,070","35,415","35,174","29,150","18,906","8,719","1,542",288
서울특별시 강북구 (1130500000),"150,143","150,143","8,162","11,319","21,044","20,357","23,936","25,793","21,431","13,005","4,611",423,62,"157,912","157,912","7,552","10,708","21,900","18,400","22,782","26,849","24,461","17,082","6,905","1,086",187
서울특별시 도봉구 (1132000000),"158,620","158,620","9,720","13,209","22,110","20,973","24,038","27,161","23,727","12,721","4,454",459,48,"166,637","166,637","9,055","12,418","21,302","20,020","24,497","29,859","26,013","14,985","7,149","1,212",127
서울특별시 노원구 (1135000000),"252,383","252,383","17,046","27,624","37,550","32,242","41,036","42,599","31,554","16,226","5,786",635,85,"270,654","270,654","16,136","25,611","35,632","32,498","45,204","45,229","36,250","21,310","10,708","1,873",203
서울특별시 은평구 (1138000000),"230,279","230,279","15,210","19,756","32,284","33,907","37,846","37,204","29,729","17,264","6,400",597,82,"249,556","249,556","14,494","18,920","34,774","34,595","38,782","40,070","34,709","21,857","9,497","1,515",343
서울특별시 서대문구 (1141000000),"149,360","149,360","10,267","11,870","24,073","22,383","23,456","23,979","18,100","10,358","4,329",464,81,"162,813","162,813","9,908","11,752","26,283","22,726","24,031","25,388","20,458","13,946","6,917","1,187",217
서울특별시 마포구 (1144000000),"175,150","175,150","12,643","14,366","27,907","30,503","29,649","26,653","18,338","10,243","4,289",477,82,"196,740","196,740","12,256","14,006","33,997","33,983","31,346","27,602","21,221","14,066","6,807","1,192",264
서울특별시 양천구 (1147000000),"222,824","222,824","16,235","26,532","30,426","28,469","37,832","38,021","27,584","13,474","3,777",425,49,"231,427","231,427","15,317","24,340","29,348","29,351","41,161","38,474","29,967","15,119","6,944","1,268",138
서울특별시 강서구 (1150000000),"280,034","280,034","20,222","22,847","40,310","50,274","45,542","41,264","35,409","18,187","5,332",572,75,"300,151","300,151","19,338","21,847","46,681","48,788","45,346","44,932","40,931","20,728","9,446","1,950",164
서울특별시 구로구 (1153000000),"199,673","199,673","14,406","15,594","27,221","32,215","32,410","31,327","26,394","15,102","4,585",379,40,"204,735","204,735","13,793","14,595","28,194","30,932","30,793","32,003","29,589","16,702","6,858","1,137",139
서울특별시 금천구 (1154500000),"117,226","117,226","6,422","7,379","18,715","19,664","17,269","20,213","16,268","8,435","2,573",230,58,"114,507","114,507","6,126","7,290","18,412","15,817","15,634","20,079","16,851","9,624","3,906",649,119
서울특별시 영등포구 (1156000000),"187,647","187,647","13,165","12,658","27,760","35,573","29,030","28,914","22,876","12,566","4,582",448,75,"191,833","191,833","12,671","11,620","31,316","33,672","27,408","28,017","24,196","14,814","6,757","1,150",212
서울특별시 동작구 (1159000000),"189,152","189,152","12,528","14,308","32,124","31,422","29,511","27,980","22,624","13,332","4,756",476,91,"202,068","202,068","12,036","13,513","34,421","30,674","29,401","30,363","26,538","16,423","7,139","1,338",222
