날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-04-20,108,14.8,8.1,22
2021-04-21,108,19.1,10.3,28.2
2021-04-22,108,20.9,16.1,27.5
2021-04-23,108,19,17,21.7
2021-04-24,108,18.3,15.3,22.2
2021-04-25,108,18.2,12.6,24
2021-04-26,108,16.2,12.3,20.6
2021-04-27,108,15.4,12.5,20
2021-04-28,108,14.5,11.2,18.2
2021-04-29,108,14.6,10.9,20.1
2021-04-30,108,11.3,8.6,14.6
2021-05-01,108,10.2,8.5,15.3
2021-05-02,108,12.4,7.3,18.7
2021-05-03,108,14.1,8.4,20.3
2021-05-04,108,13.8,11.4,15.8
2021-05-05,108,13.9,10.3,18.4
2021-05-06,108,15.7,7.9,23.1
2021-05-07,108,14.4,10.7,17.2
2021-05-08,108,14.3,8.9,21
2021-05-09,108,15.7,10,21.8
2021-05-10,108,13.2,11.7,14.6
2021-05-11,108,18.5,9.4,25.7
2021-05-12,108,22,16.9,27.7
2021-05-13,108,22.9,16.6,29.6
2021-05-14,108,24.1,18,30.8
2021-05-15,108,22.1,20.8,26.2
2021-05-16,108,18.4,14.8,20.8
2021-05-17,108,15.3,14.2,16.7
2021-05-18,108,17.9,13.6,24.5
