사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,
2021-04,1호선,1,서울역,"940,626","895,079","167,011","157,750",
2021-04,1호선,10,동묘앞,"125,090","135,698","147,152","148,689",
2021-04,1호선,2,시청,"467,000","474,137","62,924","60,632",
2021-04,1호선,3,종각,"750,908","723,834","109,314","102,698",
2021-04,1호선,4,종로3가,"422,442","381,584","254,584","237,533",
2021-04,1호선,5,종로5가,"351,949","356,541","235,999","226,953",
2021-04,1호선,6,동대문,"207,895","196,340","109,361","107,958",
2021-04,1호선,7,신설동,"265,105","261,558","103,890","100,138",
2021-04,1호선,8,제기동,"223,795","218,307","250,926","267,958",
2021-04,1호선,9,청량리(서울시립대입구),"319,366","315,775","244,924","243,448",
2021-04,2호선,11,시청,"520,875","501,060","43,943","39,344",
2021-04,2호선,12,을지로입구,"877,116","895,525","82,725","77,040",
2021-04,2호선,13,을지로3가,"467,667","461,198","65,659","64,268",
2021-04,2호선,14,을지로4가,"244,564","244,048","76,757","75,757",
2021-04,2호선,15,동대문역사문화공원(DDP),"267,428","301,421","47,407","49,636",
2021-04,2호선,16,신당,"286,860","299,008","85,096","87,273",
2021-04,2호선,17,상왕십리,"314,312","301,810","59,230","59,694",
2021-04,2호선,18,왕십리(성동구청),"388,207","313,802","45,372","38,609",
2021-04,2호선,19,한양대,"204,932","220,934","10,734","11,229",
2021-04,2호선,20,뚝섬,"539,485","573,200","52,309","52,562",
2021-04,2호선,21,성수,"790,471","872,482","92,269","94,488",
2021-04,2호선,22,건대입구,"864,575","911,329","78,455","81,640",
2021-04,2호선,23,구의(광진구청),"526,422","516,653","87,676","90,279",
2021-04,2호선,24,강변(동서울터미널),"718,595","709,465","97,902","95,913",
2021-04,2호선,25,잠실나루,"297,597","290,178","69,297","69,962",
2021-04,2호선,26,잠실(송파구청),"1,624,364","1,599,065","152,712","145,933",
2021-04,2호선,27,잠실새내,"464,436","466,931","85,569","85,484",
2021-04,2호선,28,종합운동장,"177,486","194,279","34,621","35,791",
2021-04,2호선,29,삼성(무역센터),"1,174,516","1,199,199","93,401","85,870",
2021-04,2호선,30,선릉,"1,176,163","1,052,733","191,957","170,695",
2021-04,2호선,31,역삼,"1,095,092","1,213,606","139,197","139,450",
2021-04,2호선,32,강남,"2,003,912","1,986,812","150,524","134,196",
2021-04,2호선,33,교대(법원.검찰청),"729,482","821,904","126,391","141,108",
2021-04,2호선,34,서초,"491,890","472,631","65,070","63,837",
2021-04,2호선,35,방배,"382,495","402,793","62,723","62,272",
2021-04,2호선,36,사당,"816,678","916,038","148,181","144,045",
2021-04,2호선,37,낙성대(강감찬),"642,049","616,747","91,945","94,375",
2021-04,2호선,38,서울대입구(관악구청),"1,107,482","1,088,998","159,674","152,751",
2021-04,2호선,39,봉천,"521,388","476,953","124,419","124,604",
2021-04,2호선,40,신림,"1,493,034","1,437,771","192,577","195,551",
2021-04,2호선,41,신대방,"602,766","584,550","111,275","112,598",
